"Time / s","Pulse Generator","Iout:Measured current"
0.00032920007011534255,1.25,12.995761068940368
0.00032925496980214995,1.25,12.927989518618205
0.0003293098694889573,1.25,12.860571390223612
0.00032936476917576465,1.25,12.79350484072765
0.000329419668862572,1.25,12.726788036601519
0.00032947456854937935,1.25,12.660419153816662
0.0003295294682361867,1.25,12.594396377844717
0.00032958436792299411,1.25,12.52871790365748
0.00032963926760980146,1.25,12.463381935727
0.00032971065325220947,1.25,12.37893536551681
0.00032978203889461743,1.25,12.295060968270789
0.00032985342453702545,1.25,12.211754868615003
0.00032992481017943341,1.25,12.129013216691831
0.00032999619582184142,1.25,12.046832188160025
0.00033006758146424939,1.25,11.965207984194564
0.0003301389671066574,1.25,11.884136831486813
0.00033021035274906536,1.25,11.803614982244468
0.00033028173839147338,1.25,11.72363871419148
0.00033035312403388134,1.25,11.644204330568172
0.00033041037668378074,1.25,11.580885537591556
0.00033046762933368009,1.25,11.517911058895436
0.0003305248819835795,1.25,11.45527902260811
0.0003305821346334789,1.25,11.392987566806795
0.0003306393872833783,1.25,11.331034839517841
0.00033069663993327765,1.25,11.26941899871666
0.00033075389258317706,1.25,11.208138212327711
0.00033081114523307646,1.25,11.147190658224531
0.00033086839788297587,1.25,11.086574524229718
0.00033092565053287522,1.25,11.026288008114889
0.00033098290318277462,1.25,10.966329317261824
0.00033104015583267397,1.25,10.906696669160567
0.00033109740848257337,1.25,10.84738829127285
0.00033115466113247278,1.25,10.788402420481589
0.00033121191378237218,1.25,10.729737303090701
0.00033126916643227153,1.25,10.67139119482529
0.00033132641908217094,1.25,10.613362360831502
0.00033138367173207034,1.25,10.555649075676627
0.00033144092438196974,1.25,10.498249623349011
0.00033149817703186909,1.25,10.441162297258145
0.00033155985490538887,1.25,10.380009824006308
0.00033162153277890865,1.25,10.319215512090139
0.00033168321065242843,1.25,10.25877726437939
0.00033174488852594821,1.25,10.198692995727356
0.00033180656639946799,1.25,10.138960632970878
0.00033186824427298777,1.25,10.079578114930442
0.00033192992214650755,1.25,10.02054339241009
0.00033199160002002733,1.25,9.9618544281974266
0.00033205327789354711,1.25,9.9035091970636842
0.00033211495576706689,1.25,9.8455056857636549
0.00033217763489518212,1.25,9.7869085921388148
0.00033224031402329736,1.25,9.72866024801381
0.00033230299315141254,1.25,9.6707585783355938
0.00033236567227952778,1.25,9.6132015200954584
0.00033242835140764301,1.25,9.5559870223291625
0.00033249103053575825,1.25,9.4991130461167899
0.00033255370966387348,1.25,9.442577564582848
0.00033261638879198872,1.25,9.3863785628962262
0.0003326790679201039,1.25,9.3305140382702092
0.00033274174704821913,1.25,9.2749819999624634
0.00033280048480903689,1.25,9.2232419320335737
